SourceFile,XMP-dc:Identifier,XMP-dc:Title,XMP-dc:Subject,XMP-dc:Description,XMP-dc:Creator,XMP-dc:Source,XMP-dc:Publisher,XMP-dc:Date,XMP-dc:Contributor,XMP-dc:Rights,XMP-dc:Relation,XMP-dc:Format,XMP-dc:Language,XMP-dc:Type,XMP-dc:Coverage
/Users/mrtaylor97/Downloads/Photo_Digitization/1975_nba_knicks_rockets_001.tiff,1975_nba_knicks_rockets_001,NBA Knicks Rockets,Sports,"Three male NBA players grapple for a ball during a game of basketball; one is White and two are of African descent. One of the Black players wears a white jersey that says ""New York 10"" while the other wears a dark-colored jersey that presumably says ""Houston 50"" (the letters are partially blocked from view).",,,,1975,,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",,B&W 35mm,English,Image,
/Users/mrtaylor97/Downloads/Photo_Digitization/1999_az_thunder_001.tiff,1999_az_thunder_001,Arizona Thunder,Sports,An active game between the Arizona Thunder sports team (wearing blue jerseys) and another soccer team (wearing red jerseys) is in action. It takes place in an indoor arena/stadium. There's about a group of 3-7 male players in each frame.,,,,1999,,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",,"Color 3.25"" x 4.25"" positives",English,Image,
/Users/mrtaylor97/Downloads/Photo_Digitization/1999_az_thunder_002.tiff,1999_az_thunder_002,Arizona Thunder,Sports,"Members of the Arizona Thunder soccer team stand together for a group photo in what looks to be an indoor medium-sized stadium. Aside from the guards/goal blockers (wearing gloves) and the coaches, most of them wear matching blue t-shirts with their assigned numbers on them. There's a big lightning bolt symbol emblazoned on the floor, matching the smaller version on them atheletes' shirts. All 25 male players are of a variety of ethnicities. Some are lined up in the back standing with their hands behind their backs while others crouch in the front with their hands in front of them. ",,,,1999,,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",,"Color 3.25"" x 4.25"" positives",English,Image,
/Users/mrtaylor97/Downloads/Photo_Digitization/sod_8x10_001.tiff,sod_8x10_001,Unidentified Landscape,Nature,"Photograph of a rocky landscape next to railroad tracks, taken during the day. There are metal towers spread about nearby on the side. A small cluster of buildings rest in one of the carved out pathways of the dry dessertous place. Some vegetation grows sparingly across the landscape. Could be located somewhere rocky and sunny (e.g. Texas, California, or Colorado). ",,,,Undated,,"The copyright and related rights status of this Item has been reviewed by the organization that has made the Item available, but the organization was unable to make a conclusive determination as to the copyright status of the Item. Please refer to the organization that has made the Item available for more information. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use.",,"Color 8"" x 10"" positives",English,Image,
/Users/mrtaylor97/Downloads/Photo_Digitization/sod_gpng_001.tiff,sod_gpng_001,Abe,Portrait,"A White, well-dressed homeless man with greying, long hair poses as a model for a photography class. He wears a visibly stained, dark-colored suit and tie (no hat) with a handkerchief in the left breast pocket. Grey whisker-like hairs sprout from his chin and his eyes are lowered (as if in mid-blink) as he looks downward, slightly away from the camera. There's a flat mole under his left eye and the lines/wrinkles on the skin of his face show he's older in age.",,,,1850-1920,,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",,B&W Glass Plate Negatives,English,Image,
/Users/mrtaylor97/Downloads/Photo_Digitization/sod_pnp_ng_001.tiff,sod_pnp_ng_001,Unidentified Homes,Residence,"Black and white photograph of chimney houses in a surburban neighborhood. Leavless trees suggest that the image was taken during the Fall or Winter season. Daytime, telephone lines/polls in view.",,,,Undated,,"The copyright and related rights status of this Item has been reviewed by the organization that has made the Item available, but the organization was unable to make a conclusive determination as to the copyright status of the Item. Please refer to the organization that has made the Item available for more information. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use.",,"B&W 5"" x 7"" negatives",English,Image,
/Users/mrtaylor97/Downloads/Photo_Digitization/sod_pnp_015_004a.tiff,sod_pnp_015_004a,Johnathan Clauson (Front),Portrait,"Photograph of a young man named Johnathan Clauson, yellowed with age. He wears a suit and tie, his hair combed back from his forehead to reveal his profile. ",,,,1878-12-25,,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",,"Cartes-de-visite (card
photographs); 3.35"" x 2.25""",English,Image,
/Users/mrtaylor97/Downloads/Photo_Digitization/sod_pnp_015_004b.tiff,sod_pnp_015_004b,Johnathan Clauson (Back),Portrait,Details about a photograph of a young man named Johnathan Clauson.,,,,1878-12-25,,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",,"Cartes-de-visite (card
photographs); 3.35"" x 2.25""",English,Image,
/Users/mrtaylor97/Downloads/Photo_Digitization/sod_pnp_018_006a.tiff,sod_pnp_018_006a,Frank (Front),Portrait,Photograph of a young boy named Frank.,,,,1854-1879,,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",,"Cartes-de-visite (card
photographs); 3.35"" x 2.25""",English,Image,
/Users/mrtaylor97/Downloads/Photo_Digitization/sod_pnp_018_006b.tiff,sod_pnp_018_006b,Frank (Back),Portrait,Details about a photograph of a young boy named Frank.,,,,1854-1879,,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",,"Cartes-de-visite (card
photographs); 3.35"" x 2.25""",English,Image,
